facility_id,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capacity,total_capacity,latitude,longitude,zip_code_cleaned
40163,0,10,110,0,0,120,41.089425,-73.920413,10960
41016,0,0,0,75,0,75,42.607043,-73.788606,12077
51349,0,0,0,0,6,6,40.818399,-73.888816,10474
73544,0,0,0,60,0,60,40.753216,-73.970794,10017
126425,0,0,0,0,12,12,40.841228,-73.823572,10465
135331,0,0,20,0,0,20,44.847878,-74.297567,12953
173555,0,0,85,0,0,85,42.574853,-76.216804,13045
234238,0,0,0,4,12,16,40.865752,-73.847882,10469
250057,0,0,0,240,0,240,40.819564,-73.848827,10473
262387,0,0,112,0,0,112,41.404252,-74.335359,10924
269090,0,0,0,15,0,15,40.721854,-73.903974,11378
274852,0,0,0,0,12,12,40.839556,-73.868169,10460
349917,0,0,0,0,10,10,40.830097,-73.921286,10452
386539,0,0,0,0,12,12,40.82677,-73.925507,10451
407335,0,0,0,44,0,44,43.052888,-78.957791,14072
414911,0,12,108,0,0,120,40.810875,-73.337204,11746
420887,0,0,30,0,0,30,41.093378,-73.814548,10532
461005,0,0,0,38,0,38,40.950933,-72.891727,11786
479379,0,0,0,4,12,16,43.237512,-75.447474,13440
496065,0,24,36,0,0,60,40.630779,-73.730383,11516
500895,0,0,0,4,12,16,40.820518,-73.854203,10473
545295,0,0,34,0,0,34,42.090366,-76.802279,14901
597006,0,0,0,0,6,6,40.844991,-73.884606,10460
620002,0,0,0,4,12,16,40.735085,-73.775096,11366
624233,0,0,0,245,0,245,40.84489,-73.858149,10462
659438,0,0,0,2,6,8,42.322848,-77.65388,14843
666034,16,23,34,20,0,93,42.894966,-78.508942,14004
675105,8,7,0,0,0,15,41.474747,-74.906077,12719
677764,0,0,0,180,0,180,40.647388,-73.891883,11236
689575,0,0,0,40,0,40,40.8071,-73.936369,10035
694283,0,24,0,0,0,24,43.185724,-77.473961,14580
699643,0,0,0,4,12,16,40.870249,-73.879746,10467
718461,0,0,0,100,0,100,42.941018,-76.5818,13021
720363,0,0,0,206,0,206,40.866987,-73.8508,10469
749905,0,0,0,40,0,40,40.843684,-73.784915,10464
781415,0,0,0,0,12,12,40.704553,-73.961388,11211
789544,0,0,0,0,12,12,40.636363,-73.980547,11218
791237,0,0,0,284,0,284,40.707164,-73.959423,11211
799481,0,0,0,152,0,152,40.646041,-73.673402,11563
818672,0,0,0,100,0,100,40.71236,-73.998909,10038
820511,0,0,0,20,0,20,42.72039,-77.869133,14510
825327,0,0,0,100,0,100,40.743341,-73.922791,11104
826115,0,0,0,62,0,62,40.763979,-73.985859,10019
831636,0,0,0,101,0,101,40.695267,-73.959658,11205
855006,0,0,0,100,0,100,42.595,-74.328966,12122
863516,0,42,95,0,0,137,40.801287,-73.433853,11747
874544,8,8,9,0,0,25,43.289831,-77.792299,14468
875372,0,0,0,60,0,60,40.954419,-73.726328,10543
875675,0,0,0,196,0,196,40.63544,-73.910885,11236
884416,0,0,0,2,6,8,42.626832,-76.469025,13092
885578,0,0,0,0,10,10,40.837575,-73.889189,10460
886656,0,0,0,4,12,16,40.831951,-73.851559,10462
888739,0,0,0,80,0,80,40.814984,-73.889068,10474
890556,0,0,0,57,0,57,40.7614,-73.5934,11590
892915,0,0,0,4,12,16,44.61004,-73.606143,12985
893252,0,0,0,105,0,105,40.932711,-73.887081,10701
894399,0,0,0,100,0,100,40.628558,-73.928246,11234
897056,0,0,18,0,0,18,43.205253,-77.613214,14617
905586,0,0,18,20,0,38,42.743784,-78.797903,14075
905995,0,0,0,4,12,16,41.128,-74.0668,10952
907572,24,29,10,0,0,63,41.080223,-73.863874,10591
914947,0,0,0,0,12,12,43.127918,-75.725644,13032
918817,8,23,28,0,0,59,41.048039,-71.952191,11954
921326,0,0,0,0,6,6,42.403399,-76.474761,14850
166018,8,24,18,0,0,50,43.352914,-73.656306,12804
40572,0,0,157,0,0,157,40.925379,-73.902449,10705
42263,0,0,0,160,0,160,43.13112,-76.236617,13090
10094,0,0,0,2,6,8,44.237606,-76.083991,13624
866209,0,0,0,243,0,243,41.096188,-73.986627,10994
568414,0,0,0,4,12,16,40.877149,-73.909284,10463
618944,0,0,0,4,12,16,40.684625,-73.924133,11233
732938,0,0,0,4,12,16,41.480766,-74.360879,10941
603731,0,0,0,4,12,16,42.923403,-78.833442,14215
840230,0,0,0,4,12,16,40.595291,-73.761357,11691
881862,0,0,0,4,12,16,40.664341,-73.958775,11225
53014,0,0,0,2,6,8,40.670309,-73.865678,11208
172380,0,0,0,4,12,16,40.559204,-74.125539,10306
769206,0,0,0,79,0,79,40.823296,-73.903164,10456
267366,0,0,0,4,12,16,40.63394,-73.950656,11210
791983,0,0,0,4,12,16,40.815962,-73.937661,10037
576262,0,0,0,2,6,8,40.816245,-73.862879,10473
74215,0,0,0,152,0,152,40.84928,-73.931431,10033
585734,0,0,0,4,12,16,40.647348,-74.011331,11220
607560,0,0,0,4,12,16,40.834317,-73.918321,10452
43269,8,10,48,20,0,86,43.330031,-73.647786,12804
841495,0,0,0,4,12,16,40.918421,-73.899095,10705
251464,0,0,0,4,12,16,40.698064,-73.91312,11237
728553,0,0,0,295,0,295,40.823491,-73.859805,10473
842127,0,0,0,4,12,16,40.917188,-73.895963,10705
815237,0,0,0,4,12,16,40.630146,-73.980706,11204
233516,0,0,0,40,0,40,40.838976,-73.910195,10457
647797,0,0,0,2,6,8,40.694618,-73.749959,11412
367235,0,0,0,4,12,16,40.684076,-73.918325,11233
867682,0,0,0,2,12,14,40.87136,-73.885563,10458
404046,0,0,0,2,12,14,40.645574,-73.963485,11226
73477,0,0,0,41,0,41,40.720388,-73.990992,10002
794955,0,0,0,4,12,16,40.624681,-73.978301,11204
72446,0,0,0,4,12,16,40.729852,-73.981527,10009
405628,0,0,0,4,12,16,40.682021,-73.855402,11416
