zip_code_cleaned,Employment_Rate,Average_Income,Demand_Classification
10001,0.5950970226633091,102878.03360298694,Normal
10002,0.5206618050654748,59604.04116465864,High
10003,0.4972437218107912,114273.04964539009,Normal
10004,0.5066608429788163,132004.3103448276,Normal
10005,0.6658334280195433,121437.7133105802,High
10006,0.6316916488222698,126377.1186440678,High
10007,0.528910205169198,138853.90428211587,Normal
10009,0.5145674278475812,77133.23353293413,Normal
10010,0.4927491514964517,116272.69881026926,Normal
10011,0.5569999212164185,120420.79207920792,Normal
10012,0.5382730015082956,111131.78633975482,Normal
10013,0.4861983499134213,106023.04469273744,Normal
10014,0.6086012015885408,124233.12883435584,High
10016,0.5652117934852582,109298.7308818744,Normal
10017,0.7773022228358415,118061.72291296624,High
10018,0.757593255572237,108746.18902439025,High
10019,0.6170789879811065,107014.96779082986,High
10021,0.5418040450765218,124193.91462306994,Normal
10022,0.5698803072708867,124320.79414838034,Normal
10023,0.5057376799683438,121776.25639482395,Normal
10024,0.4603816866855704,118313.14878892733,Normal
10025,0.4391264898750361,93258.39398919934,Normal
10026,0.4513262772768849,65380.71800810655,Normal
10027,0.3941889797282922,61675.983037779486,Normal
10028,0.5260625150381696,117822.24532224532,Normal
10029,0.4520326923585579,48339.6723229959,High
10030,0.4055264167839325,48373.42271293375,High
10031,0.4465631347880217,48674.798239178286,High
10032,0.4551917989417989,46467.4900108972,High
10033,0.4276881674643593,52235.16527279968,High
10034,0.4544142410392109,50708.04658549497,High
10035,0.3839875631558492,50944.669365722,High
10036,0.5719366311024895,94940.64443188242,Normal
10037,0.5026648552617828,57120.58212058212,High
10038,0.5059332562224221,95681.62574089757,Normal
10039,0.4219225750326228,47026.16970658208,High
10040,0.4673218335509587,50772.05882352941,High
10044,0.3992908998818166,86945.03171247357,Normal
10065,0.491266729317217,120720.64643799471,Normal
10069,0.519252276721521,133653.84615384616,Normal
10075,0.5635451505016722,120113.13056379822,Normal
10128,0.5517241379310345,111992.48721227625,Normal
10162,0.4990151017728168,137335.52631578947,Normal
10280,0.4692977496324776,134397.5903614458,Normal
10282,0.3286821705426356,152181.6037735849,Normal
10301,0.4564726885026406,66913.36230309615,Normal
10302,0.4766521247374374,57217.51412429378,High
10303,0.4733596721190414,52778.861154446175,High
10304,0.4645149786019971,61216.41074856045,Normal
10305,0.496553031200398,64277.19465648855,Normal
10306,0.5132309005548442,73657.31115731115,Normal
10307,0.4662826160623517,86900.43604651163,Normal
10308,0.4721529509559434,81452.4647887324,Normal
10309,0.4602763385146804,85576.92307692306,Normal
10310,0.4500933724608407,67453.42929720576,Normal
10312,0.4781560663589242,83484.34925864909,Normal
10314,0.448836839595146,74144.03778040141,Normal
10451,0.4843016117401726,40553.319919517104,High
10452,0.4703398453398453,35306.24661979448,High
10453,0.4718542016545375,34474.69021882415,High
10454,0.389063374966523,35661.76470588235,High
10455,0.4238395673726904,35785.48644338118,High
10456,0.4558848433530906,34503.467062902426,High
10457,0.4239698309883859,34633.56973995271,High
10458,0.4262318875638017,35868.3314415437,High
10459,0.4231775844815642,36056.161891768985,High
10460,0.4476040900888859,36095.55804404629,High
10461,0.4883227176220807,57890.49919484702,High
10462,0.508481160170918,49331.55080213904,High
10463,0.4826732673267326,65918.80341880342,Normal
10464,0.5009319664492078,84418.6046511628,Normal
10465,0.4288398004793677,67554.12890231621,Normal
10466,0.4438725388457654,47724.43890274314,High
10467,0.459412640685624,42034.178610804855,High
10468,0.445348108652653,37413.79310344827,High
10469,0.4493334446578164,53108.54753793744,High
10470,0.4899285250162443,58968.83289124668,High
10471,0.4347256204124432,91633.16582914571,Normal
10472,0.4482024416770063,37918.66028708134,High
10473,0.4711501655932231,46564.81808548216,High
10474,0.4441489361702128,35229.54091816367,High
10475,0.5172691132201209,56136.16170590848,High
10501,0.4943502824858757,105178.57142857142,Normal
10502,0.4995648389904265,120470.38327526132,Normal
10504,0.4921088604448863,128945.70707070708,Normal
10505,0.7243816254416962,92225.60975609758,High
10506,0.444794952681388,126241.13475177305,Normal
10507,0.4216773387474621,85787.03703703704,Normal
10509,0.5163372327551432,84375.0,Normal
10510,0.4781983708672736,124123.246492986,Normal
10511,0.5173169662428759,82944.91525423728,Normal
10512,0.5429584432717678,85317.00835231587,Normal
10514,0.4258957021838812,136587.5912408759,Normal
10516,0.4923903312444047,99500.0,Normal
10518,0.8554216867469879,113556.338028169,High
10520,0.5109777286368662,103052.55023183924,Normal
10522,0.4614181438998957,107674.19962335218,Normal
10523,0.5367983810842475,75297.61904761905,Normal
10524,0.4926335174953959,102978.9719626168,Normal
10526,0.4951005673027334,105338.54166666666,Normal
10527,0.6907894736842105,115178.57142857142,High
10528,0.4463750748951468,100964.76510067114,Normal
10530,0.5131298793470547,105584.37067773168,Normal
10532,0.5119047619047619,101162.79069767444,Normal
10533,0.510286951813752,121352.7851458886,Normal
10535,0.99,74038.46153846153,High
10536,0.4853199962952672,118916.9847328244,Normal
10537,0.4120229652144546,77254.09836065574,Normal
10538,0.4663447884123828,127009.74421437272,Normal
10541,0.507351814979323,91301.88679245285,Normal
10543,0.4652037028335135,95909.09090909093,Normal
10546,0.6947162426614482,120246.47887323944,High
10547,0.4983692106979778,87107.32984293194,Normal
10548,0.382366171839856,86397.05882352941,Normal
10549,0.529746835443038,92114.69534050178,Normal
10550,0.4828687645047788,48113.69509043928,High
10552,0.5004751346214761,77373.41772151898,Normal
10553,0.5481664449933498,58578.856152513,High
10560,0.4562814070351759,104955.94713656387,Normal
10562,0.4830341701950026,78564.81481481482,Normal
10566,0.5062792803432936,63870.52877138414,Normal
10567,0.5107379540584982,97280.48780487804,Normal
10570,0.4624848116646415,112294.74548440066,Normal
10573,0.4740027710931233,73685.89743589744,Normal
10576,0.5175563223056627,125196.07843137256,Normal
10577,0.2473555736371033,125904.6052631579,Normal
10578,0.2348993288590604,91964.28571428572,Normal
10579,0.5580712275119325,95230.26315789472,Normal
10580,0.4624661171654589,125284.09090909093,Normal
10583,0.4617218478604617,127798.99894625922,Normal
10588,0.4065533980582524,91138.05970149252,Normal
10589,0.666294175164129,108700.20964360586,High
10590,0.4401242068313757,113611.96319018403,Normal
10591,0.5110404817664771,87684.12438625205,Normal
10594,0.4851752021563342,100277.77777777778,Normal
10595,0.456120892832386,105585.10638297872,Normal
10597,0.7476635514018691,135677.0833333333,High
10598,0.5091859905043694,102525.33783783784,Normal
10601,0.5351559010095596,83222.0367278798,Normal
10603,0.5213368678205728,80059.82053838484,Normal
10604,0.5136028476989576,87458.74587458746,Normal
10605,0.5212121212121212,104251.45348837208,Normal
10606,0.5374642400633027,71206.11551528878,Normal
10607,0.6135422826729746,90000.0,High
10701,0.4483184383819379,55344.26229508197,High
10703,0.4625503925312964,62190.366972477066,Normal
10704,0.5431900857019545,71318.10442678774,Normal
10705,0.4848048171688839,53397.02760084926,High
10706,0.4918394353771504,116423.7668161435,Normal
10707,0.520129297678519,101553.67231638418,Normal
10708,0.5023235229032972,109944.93392070485,Normal
10709,0.5057015369360436,102549.01960784312,Normal
10710,0.5513621211540672,82270.67407922167,Normal
10801,0.4800594382130189,67866.94957563655,Normal
10803,0.4524580290597004,118323.62728785358,Normal
10804,0.4768555466879489,125645.04881450487,Normal
10805,0.4456018518518518,72483.76623376623,Normal
10901,0.4431720134912542,87057.52212389381,Normal
