zip_code_cleaned,Population_0_5,Population_0_12
06390,0,4
10001,901,2093
10002,2751,7107
10003,1647,3046
10004,469,712
10005,525,825
10006,147,269
10007,695,1230
10009,2228,4655
10010,1740,3583
10011,1449,3227
10012,645,1018
10013,1471,3183
10014,792,1571
10016,2050,3905
10017,228,509
10018,286,534
10019,1245,2092
10020,0,0
10021,2022,4337
10022,1413,2803
10023,4035,7301
10024,4807,8854
10025,5201,10174
10026,2614,5481
10027,4258,8855
10028,2154,4898
10029,4617,9674
10030,2148,4235
10031,2940,6585
10032,2705,5908
10033,3692,7245
10034,2966,5805
10035,2758,5723
10036,757,1590
10037,1256,2566
10038,879,2128
10039,2213,4632
10040,2471,5650
10044,1038,1757
10065,2484,4100
10069,744,1286
10075,1404,2521
10103,0,0
10110,0,0
10111,0,0
10112,0,0
10115,0,0
10119,0,0
10128,3146,5659
10152,0,0
10153,0,0
10154,0,0
10162,134,155
10165,0,0
10167,0,0
10168,0,0
10169,0,0
10170,0,0
10171,0,0
10172,0,0
10173,0,0
10174,0,0
10177,0,0
10199,0,0
10271,0,0
10278,0,0
10279,0,0
10280,358,630
10282,531,1338
10301,3205,6134
10302,1579,3324
10303,1605,4305
10304,2813,6930
10305,2107,5262
10306,3178,7928
10307,1203,2206
10308,1428,3889
10309,2303,5376
10310,2464,4759
10311,0,0
10312,4541,10087
10314,6394,14464
10451,4214,9239
10452,6652,15441
10453,6709,15656
10454,3465,7937
10455,3282,8493
10456,7927,17022
10457,8050,17266
10458,6841,15616
10459,4671,9862
10460,4788,10814
10461,3386,7920
10462,6467,13363
10463,5147,10689
10464,141,519
10465,3692,7206
10466,5245,11961
10467,7666,17084
10468,7729,15652
10469,5277,10981
10470,1427,2154
10471,1173,2508
10472,6202,12390
10473,4404,9701
10474,1231,2601
10475,3572,6456
10501,24,127
10502,395,1007
10503,0,0
10504,637,1472
10505,58,164
10506,421,1147
10507,515,1062
10509,1320,2941
10510,510,1430
10511,138,302
10512,1320,2902
10514,934,2422
10516,335,717
10517,11,15
10518,16,51
10519,0,23
10520,772,1867
10522,699,1721
10523,790,1580
10524,162,507
10526,97,248
10527,19,71
10528,976,2379
10530,979,1746
10532,338,709
10533,700,1726
10535,7,11
10536,683,1907
10537,137,441
10538,1530,3814
10540,1,16
10541,1614,3816
10542,0,0
10543,1512,3709
10545,2,8
10546,54,124
10547,421,1006
10548,343,600
10549,1531,2647
10550,2573,6193
10552,1216,2519
10553,548,1213
10560,442,864
10562,2046,4095
10566,1201,2886
10567,1334,3000
10570,808,1911
10573,2714,5926
10576,138,459
10577,225,377
10578,70,385
10579,261,918
10580,1117,3427
10583,2829,7642
10588,339,567
10589,244,703
10590,407,1041
10591,1609,3198
10594,438,952
10595,404,789
10596,16,56
10597,22,117
10598,1671,4246
10601,417,1015
10603,1441,3054
10604,893,2300
10605,1207,2617
10606,1085,2268
10607,377,819
10701,5514,11621
10703,1383,3005
10704,2211,4424
10705,2461,5959
10706,522,1279
10707,840,1480
